iter	RMSE
0	1.097153185
1	1.085044555
2	1.069595436
3	1.05557952
4	1.042127709
5	1.030105695
6	1.018650741
7	1.009228267
8	0.9999185862
9	0.9914413457
10	0.9830059319
11	0.9752054408
12	0.9675617736
13	0.9586508232
14	0.9515109598
15	0.9452188913
16	0.937144093
17	0.9323188921
18	0.9252241026
19	0.9194698602
20	0.913034426
21	0.9086682994
22	0.9041473035
23	0.9001859703
24	0.8960179179
25	0.8918211542
26	0.8879225012
27	0.8835905333
28	0.8794556305
29	0.8756868294
30	0.8729290286
31	0.8688082728
32	0.8648178055
33	0.8618961227
34	0.8587468788
35	0.8556418938
36	0.8527387467
37	0.8491920236
38	0.8459667871
39	0.8428687102
40	0.8397417597
41	0.8370163136
42	0.8345689573
43	0.8317006337
44	0.8292729441
45	0.8256480234
46	0.8223422652
47	0.8198635412
48	0.8172079595
49	0.8158477684
50	0.8126861259
51	0.8098147343
52	0.8068786418
53	0.8045398253
54	0.8026744111
55	0.800467327
56	0.7988625171
57	0.7960494283
58	0.7943158782
59	0.7925089391
60	0.7907115476
61	0.7897600309
62	0.7876442291
63	0.7866792844
64	0.7847626839
65	0.7831432479
66	0.7802182222
67	0.7796211409
68	0.7775588591
69	0.7757947014
70	0.773734357
71	0.7717193864
72	0.7705443462
73	0.7689448206
74	0.7681213347
75	0.7664327008
76	0.7641870976
77	0.7631715881
78	0.7622308304
79	0.7604598953
80	0.758916234
81	0.7574845801
82	0.7563017129
83	0.754799981
84	0.7529253543
85	0.7515631023
86	0.7495025159
87	0.7481394265
88	0.7471415219
89	0.7464127739
90	0.7447202824
91	0.7425734459
92	0.7409753551
93	0.7392855581
94	0.738223298
95	0.7365012257
96	0.7351247965
97	0.7333415271
98	0.7323269083
99	0.7307445099
100	0.7304913644
101	0.7288614341
102	0.7274609234
103	0.7267455496
104	0.7260302353
105	0.7250150735
106	0.7239132245
107	0.7226876159
108	0.7206500223
109	0.7196228316
110	0.7185875899
111	0.717867261
112	0.716920045
113	0.7160341588
114	0.7147871879
115	0.7135872176
116	0.7123904785
117	0.7107961939
118	0.7092388655
119	0.7085300525
120	0.7073870693
121	0.7059976179
122	0.7050073658
123	0.7040516779
124	0.7033776877
