iter	Passed	Remaining
0	5	2855
1	17	4317
2	22	3672
3	25	3152
4	28	2849
5	32	2675
6	35	2515
7	39	2452
8	43	2362
9	46	2297
10	49	2215
11	52	2149
12	56	2115
13	60	2093
14	66	2153
15	71	2156
16	76	2187
17	93	2500
18	100	2531
19	105	2527
20	108	2472
21	112	2444
22	116	2410
23	122	2437
24	127	2417
25	134	2451
26	140	2458
27	148	2500
28	155	2524
29	159	2498
30	163	2466
31	167	2448
32	172	2436
33	176	2413
34	181	2409
35	200	2582
36	211	2642
37	230	2806
38	237	2804
39	240	2763
40	244	2742
41	248	2711
42	252	2686
43	258	2675
44	262	2652
45	267	2637
46	270	2608
47	275	2591
48	278	2567
49	283	2555
50	287	2534
51	292	2520
52	297	2509
53	306	2532
54	314	2546
55	319	2535
56	338	2630
57	349	2660
58	353	2638
59	363	2665
60	368	2650
61	371	2624
62	375	2606
63	380	2592
64	385	2576
65	388	2555
66	392	2539
67	397	2523
68	401	2509
69	405	2489
70	409	2475
71	417	2479
72	422	2473
73	427	2461
74	431	2447
75	436	2434
76	442	2431
77	447	2419
78	451	2404
79	455	2392
80	460	2380
81	464	2369
82	468	2354
83	472	2340
84	476	2324
85	479	2307
86	482	2291
87	486	2279
88	491	2268
89	494	2252
90	498	2241
91	501	2225
92	505	2212
93	509	2199
94	514	2191
95	519	2185
96	524	2177
97	529	2171
98	534	2165
99	540	2163
100	545	2155
101	550	2148
102	555	2139
103	558	2124
104	561	2112
105	564	2098
106	573	2106
107	609	2211
108	618	2220
109	623	2210
110	627	2198
111	632	2192
112	636	2180
113	639	2166
114	642	2152
115	648	2146
116	651	2134
117	654	2119
118	658	2107
119	661	2096
120	665	2084
121	668	2072
122	672	2062
123	676	2051
124	679	2038
125	683	2029
126	686	2016
127	689	2003
128	692	1992
129	696	1981
130	699	1969
131	702	1957
132	705	1945
133	708	1935
134	712	1926
135	715	1914
136	718	1903
137	724	1899
138	727	1889
139	730	1878
140	733	1867
141	738	1860
142	741	1850
143	744	1839
144	746	1828
145	749	1817
146	752	1808
147	755	1797
148	758	1787
149	763	1780
150	766	1771
151	769	1761
152	772	1752
153	775	1743
154	778	1733
155	781	1724
156	784	1714
157	787	1705
158	790	1695
159	793	1686
160	796	1677
161	799	1668
162	802	1659
163	805	1651
164	808	1641
165	811	1633
166	815	1625
167	822	1625
168	826	1618
169	830	1611
170	833	1603
171	836	1594
172	840	1589
173	843	1580
174	849	1577
175	853	1571
176	859	1568
177	865	1564
178	867	1556
179	870	1548
180	876	1544
181	879	1537
182	887	1537
183	891	1530
184	894	1523
185	897	1515
186	900	1508
187	907	1505
188	910	1498
189	913	1490
190	916	1482
191	919	1474
192	923	1468
193	926	1460
194	929	1453
195	932	1446
196	936	1440
197	940	1435
198	943	1427
199	948	1422
200	952	1417
201	955	1410
202	958	1402
203	961	1394
204	965	1388
205	968	1381
206	971	1374
207	973	1366
208	976	1359
209	979	1352
210	982	1345
211	985	1338
212	988	1332
213	991	1325
214	995	1320
215	1000	1315
216	1004	1310
217	1008	1304
218	1013	1300
219	1016	1294
220	1020	1288
221	1024	1282
222	1029	1278
223	1032	1272
224	1036	1266
225	1039	1259
226	1044	1255
227	1047	1249
228	1050	1243
229	1053	1237
230	1057	1231
231	1063	1228
232	1066	1222
233	1070	1217
234	1074	1211
235	1078	1206
236	1082	1200
237	1085	1194
238	1089	1189
239	1093	1185
240	1097	1179
241	1100	1172
242	1103	1166
243	1107	1162
244	1111	1156
245	1114	1150
246	1117	1144
247	1122	1140
248	1126	1135
249	1128	1128
250	1133	1124
251	1137	1119
252	1140	1113
253	1143	1107
254	1148	1103
255	1153	1099
256	1157	1094
257	1160	1088
258	1165	1084
259	1169	1079
260	1172	1073
261	1175	1067
262	1178	1061
263	1183	1058
264	1186	1052
265	1189	1046
266	1192	1041
267	1195	1035
268	1199	1029
269	1202	1024
270	1205	1018
271	1208	1012
272	1211	1007
273	1215	1002
274	1218	996
275	1221	991
276	1224	985
277	1227	980
278	1231	975
279	1234	970
280	1237	964
281	1240	959
282	1244	954
283	1247	948
284	1250	943
285	1253	937
286	1257	933
287	1261	928
288	1264	923
289	1267	917
290	1269	912
291	1277	909
292	1280	904
293	1283	899
294	1287	894
295	1291	890
296	1294	884
297	1298	880
298	1301	874
299	1305	870
300	1308	864
301	1311	859
302	1314	854
303	1319	850
304	1322	845
305	1326	840
306	1329	835
307	1332	830
308	1336	825
309	1339	821
310	1342	815
311	1345	810
312	1351	807
313	1355	802
314	1357	797
315	1360	792
316	1363	787
317	1367	782
318	1370	777
319	1373	772
320	1376	767
321	1378	762
322	1383	758
323	1386	753
324	1389	748
325	1392	743
326	1395	738
327	1398	733
328	1403	729
329	1406	724
330	1408	719
331	1411	714
332	1416	710
